date,code,volume,pctChg
2020-07-09,sz.000002,134245408,0.756600
2020-07-10,sz.000002,209840641,-4.766600
2020-07-13,sz.000002,180403306,0.102800
2020-07-14,sz.000002,134301828,-0.890400
2020-07-15,sz.000002,115498979,-2.280600
2020-07-16,sz.000002,143843210,-2.616700
2020-07-17,sz.000002,116635074,-1.125600
2020-07-20,sz.000002,113274983,3.929500
2020-07-21,sz.000002,77630844,-1.024700
2020-07-22,sz.000002,88214650,-0.464100
2020-07-23,sz.000002,99122569,-1.291200
2020-07-24,sz.000002,116023976,-1.780500
2020-07-27,sz.000002,94346722,-1.294900
2020-07-28,sz.000002,61944705,0.712100
2020-07-29,sz.000002,92689379,0.893200
2020-07-30,sz.000002,73396871,-0.848400
2020-07-31,sz.000002,73332735,-0.148800
2020-08-03,sz.000002,106223706,1.639300
2020-08-04,sz.000002,124638336,1.686200
2020-08-05,sz.000002,81132358,-1.405900
2020-08-06,sz.000002,82724210,0.109700
2020-08-07,sz.000002,66406285,-1.278300
2020-08-10,sz.000002,105284004,2.885700
2020-08-11,sz.000002,103836584,0.251700
2020-08-12,sz.000002,124977408,2.977000
2020-08-13,sz.000002,79090289,-0.383100
2020-08-14,sz.000002,94094734,0.362600
2020-08-17,sz.000002,134781783,1.914700
2020-08-18,sz.000002,84839264,-1.807900
2020-08-19,sz.000002,73057697,-0.938600
2020-08-20,sz.000002,56897597,0.145800
2020-08-21,sz.000002,51555108,-0.436700
2020-08-24,sz.000002,56626920,-0.840600
2020-08-25,sz.000002,48963532,0.221200
2020-08-26,sz.000002,52089356,-0.404600
2020-08-27,sz.000002,54184719,-0.480100
2020-08-28,sz.000002,89155721,2.300600
2020-08-31,sz.000002,80390243,-1.088100
2020-09-01,sz.000002,52429625,-0.183400
2020-09-02,sz.000002,73002297,1.102100
2020-09-03,sz.000002,79922055,1.053800
2020-09-04,sz.000002,81618597,0.934900
2020-09-07,sz.000002,143229421,1.282500
2020-09-08,sz.000002,96499732,-0.457300
2020-09-09,sz.000002,64561425,-1.130700
2020-09-10,sz.000002,95467662,1.715500
2020-09-11,sz.000002,54110837,-1.616300
2020-09-14,sz.000002,58840274,-1.071400
2020-09-15,sz.000002,58423226,0.613700
2020-09-16,sz.000002,55470146,1.148200
2020-09-17,sz.000002,56562254,-0.461200
2020-09-18,sz.000002,161510550,4.419100
2020-09-21,sz.000002,72510247,-0.546100
2020-09-22,sz.000002,58374238,-0.617700
2020-09-23,sz.000002,38628856,-0.897800
2020-09-24,sz.000002,56459647,-2.090600
2020-09-25,sz.000002,69722981,-1.708200
2020-09-28,sz.000002,66962773,2.824000
2020-09-29,sz.000002,41296707,-0.387300
2020-09-30,sz.000002,48983322,-0.954400
2020-10-09,sz.000002,68434585,0.035700
2020-10-12,sz.000002,92624460,0.998900
2020-10-13,sz.000002,58837993,-1.130300
2020-10-14,sz.000002,53783877,-0.750300
2020-10-15,sz.000002,52897537,-0.288000
2020-10-16,sz.000002,48096208,0.577600
2020-10-19,sz.000002,110209791,-0.430700
2020-10-20,sz.000002,62397260,-0.937300
2020-10-21,sz.000002,47335315,0.545900
2020-10-22,sz.000002,62700229,1.302900
2020-10-23,sz.000002,57914038,-0.393000
2020-10-26,sz.000002,59362396,0.430400
2020-10-27,sz.000002,59736939,-1.892900
2020-10-28,sz.000002,75040034,-2.002200
2020-10-29,sz.000002,62871422,1.708800
2020-10-30,sz.000002,93718111,0.620900
2020-11-02,sz.000002,82628600,1.451900
2020-11-03,sz.000002,61766600,0.286200
2020-11-04,sz.000002,45499180,0.463800
2020-11-05,sz.000002,120119594,3.870700
2020-11-06,sz.000002,85288066,0.717900
2020-11-09,sz.000002,81118542,0.373400
2020-11-10,sz.000002,61377060,-0.811600
2020-11-11,sz.000002,88521186,1.500200
2020-11-12,sz.000002,45905719,-0.033600
2020-11-13,sz.000002,66013466,-2.385800
2020-11-16,sz.000002,51657638,0.516400
2020-11-17,sz.000002,98054093,2.568500
2020-11-18,sz.000002,124765830,2.704500
2020-11-19,sz.000002,66088230,0.487600
2020-11-20,sz.000002,45312111,-0.129400
2020-11-23,sz.000002,66538692,0.550700
2020-11-24,sz.000002,49378272,-0.612100
2020-11-25,sz.000002,52568471,-0.162100
2020-11-26,sz.000002,58403977,0.454500
2020-11-27,sz.000002,66701280,2.165500
2020-11-30,sz.000002,135347749,-2.878800
2020-12-01,sz.000002,84985342,0.162900
2020-12-02,sz.000002,95456166,1.235800
2020-12-03,sz.000002,53332753,-0.738800
2020-12-04,sz.000002,81274805,-2.912600
2020-12-07,sz.000002,63008652,-1.966700
2020-12-08,sz.000002,51326146,-0.782000
2020-12-09,sz.000002,63703506,-1.782000
2020-12-10,sz.000002,57886966,-0.279100
2020-12-11,sz.000002,59367174,-0.419900
2020-12-14,sz.000002,65070980,1.616300
2020-12-15,sz.000002,51801487,-1.279400
2020-12-16,sz.000002,46866602,0.175100
2020-12-17,sz.000002,51935907,0.839200
2020-12-18,sz.000002,52545925,-1.178900
2020-12-21,sz.000002,60094152,-1.157900
2020-12-22,sz.000002,56434924,-0.426000
2020-12-23,sz.000002,68509320,-0.784300
2020-12-24,sz.000002,40985765,0.395300
2020-12-25,sz.000002,42587723,0.572700
2020-12-28,sz.000002,58368064,1.138800
2020-12-29,sz.000002,53904291,0.351900
2020-12-30,sz.000002,49971854,-0.490900
2020-12-31,sz.000002,65199111,1.127600
date,code,volume,pctChg
2020-01-02,sz.000027,9172799,0.322100
2020-01-03,sz.000027,7911373,0.481500
2020-01-06,sz.000027,11175219,-0.319500
2020-01-07,sz.000027,13086699,1.121800
2020-01-08,sz.000027,15050351,-2.694100
2020-01-09,sz.000027,7671330,0.814300
2020-01-10,sz.000027,5940320,-0.323100
2020-01-13,sz.000027,8023993,0.972400
2020-01-14,sz.000027,5715613,-0.321000
2020-01-15,sz.000027,13358654,-1.127200
2020-01-16,sz.000027,7641820,-0.814300
