date,code,volume,pctChg,close
2018-02-14,sz.000703,0,0.000000,26.0100
2018-02-22,sz.000703,0,0.000000,26.0100
2018-02-23,sz.000703,0,0.000000,26.0100
2018-02-26,sz.000703,0,0.000000,26.0100
2018-02-27,sz.000703,0,0.000000,26.0100
2018-02-28,sz.000703,0,0.000000,26.0100
2018-03-01,sz.000703,0,0.000000,26.0100
2018-03-02,sz.000703,0,0.000000,26.0100
2018-03-05,sz.000703,0,0.000000,26.0100
2018-03-06,sz.000703,0,0.000000,26.0100
2018-03-07,sz.000703,0,0.000000,26.0100
2018-03-08,sz.000703,0,0.000000,26.0100
2018-03-09,sz.000703,0,0.000000,26.0100
2018-03-12,sz.000703,0,0.000000,26.0100
2018-03-13,sz.000703,0,0.000000,26.0100
2018-03-14,sz.000703,0,0.000000,26.0100
2018-03-15,sz.000703,0,0.000000,26.0100
2018-03-16,sz.000703,0,0.000000,26.0100
2018-03-19,sz.000703,0,0.000000,26.0100
2018-03-20,sz.000703,0,0.000000,26.0100
2018-03-21,sz.000703,0,0.000000,26.0100
2018-03-22,sz.000703,0,0.000000,26.0100
2018-03-23,sz.000703,0,0.000000,26.0100
2018-03-26,sz.000703,0,0.000000,26.0100
2018-03-27,sz.000703,0,0.000000,26.0100
2018-03-28,sz.000703,0,0.000000,26.0100
2018-03-29,sz.000703,0,0.000000,26.0100
2018-03-30,sz.000703,0,0.000000,26.0100
2018-04-02,sz.000703,0,0.000000,26.0100
2018-04-03,sz.000703,282900,-9.996157,23.4100
2018-04-04,sz.000703,86472618,-7.731737,21.6000
2018-04-09,sz.000703,36055335,-5.231486,20.4700
2018-04-10,sz.000703,21561658,7.083541,21.9200
2018-04-11,sz.000703,19482370,-0.593062,21.7900
2018-04-12,sz.000703,11867158,-1.789818,21.4000
2018-04-13,sz.000703,12628305,0.981313,21.6100
2018-04-16,sz.000703,21876256,-4.581211,20.6200
2018-04-17,sz.000703,14038746,0.921429,20.8100
2018-04-18,sz.000703,12976861,-0.768860,20.6500
2018-04-19,sz.000703,13414481,2.179180,21.1000
2018-04-20,sz.000703,14245126,-3.412328,20.3800
2018-04-23,sz.000703,7762964,-0.392541,20.3000
2018-04-24,sz.000703,11392815,2.413801,20.7900
2018-04-25,sz.000703,11973236,0.577195,20.9100
2018-04-26,sz.000703,13236063,-4.495460,19.9700
2018-04-27,sz.000703,12641443,1.201802,20.2100
2018-05-02,sz.000703,17146144,5.640779,21.3500
2018-05-03,sz.000703,18031491,2.248241,21.8300
2018-05-04,sz.000703,16457341,2.382045,22.3500
2018-05-07,sz.000703,20222070,5.950782,23.6800
2018-05-08,sz.000703,12762616,0.168915,23.7200
2018-05-09,sz.000703,7355531,-1.559861,23.3500
2018-05-10,sz.000703,9796491,-1.413276,23.0200
2018-05-11,sz.000703,6991191,0.781930,23.2000
2018-05-14,sz.000703,10630701,0.560341,23.3300
2018-05-15,sz.000703,13683007,2.057435,23.8100
2018-05-16,sz.000703,12076041,-2.141958,23.3000
2018-05-17,sz.000703,13842464,3.218884,24.0500
2018-05-18,sz.000703,20928531,5.114351,25.2800
2018-05-21,sz.000703,14718796,1.463603,25.6500
2018-05-22,sz.000703,19014095,2.378170,26.2600
2018-05-23,sz.000703,15734142,-4.493527,25.0800
2018-05-24,sz.000703,19699934,-2.025890,17.4100
2018-05-25,sz.000703,14528557,-0.459506,17.3300
2018-05-28,sz.000703,19805000,0.000000,17.3300
2018-05-29,sz.000703,21192787,-1.904212,17.0000
2018-05-30,sz.000703,15450439,-2.352939,16.6000
2018-05-31,sz.000703,11926801,0.060242,16.6100
2018-06-01,sz.000703,12157929,-2.408197,16.2100
2018-06-04,sz.000703,9408008,1.357195,16.4300
2018-06-05,sz.000703,15115939,-1.095559,16.2500
2018-06-06,sz.000703,11053258,-0.184620,16.2200
2018-06-07,sz.000703,9289652,-0.493218,16.1400
2018-06-08,sz.000703,28955215,5.514258,17.0300
2018-06-11,sz.000703,17722205,-1.056960,16.8500
2018-06-12,sz.000703,9021344,0.178034,16.8800
2018-06-13,sz.000703,11565171,0.592419,16.9800
2018-06-14,sz.000703,8489585,0.294471,17.0300
2018-06-15,sz.000703,13510962,0.176152,17.0600
2018-06-19,sz.000703,20298776,-5.041024,16.2000
2018-06-20,sz.000703,15281834,-0.925935,16.0500
2018-06-21,sz.000703,25487570,-7.289714,14.8800
2018-06-22,sz.000703,13772665,-0.739245,14.7700
2018-06-25,sz.000703,13826130,-1.828033,14.5000
2018-06-26,sz.000703,9129612,1.379309,14.7000
2018-06-27,sz.000703,25461856,-0.068029,14.6900
2018-06-28,sz.000703,13997847,-1.293394,14.5000
2018-06-29,sz.000703,14443724,2.620691,14.8800
2018-07-02,sz.000703,8699156,-0.604840,14.7900
2018-07-03,sz.000703,11543929,-1.555102,14.5600
2018-07-04,sz.000703,9172972,-0.343408,14.5100
2018-07-05,sz.000703,30360104,-6.960718,13.5000
2018-07-06,sz.000703,21039237,-3.111112,13.0800
2018-07-09,sz.000703,19124568,7.186548,14.0200
2018-07-10,sz.000703,19659506,0.998569,14.1600
2018-07-11,sz.000703,18533406,0.776840,14.2700
2018-07-12,sz.000703,16012666,2.452694,14.6200
2018-07-13,sz.000703,13998891,4.309166,15.2500
2018-07-16,sz.000703,15239723,-0.327870,15.2000
2018-07-17,sz.000703,10601255,-0.921049,15.0600
2018-07-18,sz.000703,12372876,-0.730416,14.9500
2018-07-19,sz.000703,7970875,1.672241,15.2000
2018-07-20,sz.000703,8337667,0.000000,15.2000
2018-07-23,sz.000703,10979724,1.842103,15.4800
2018-07-24,sz.000703,41144363,6.976744,16.5600
2018-07-25,sz.000703,11625528,-1.086958,16.3800
2018-07-26,sz.000703,8899472,-2.564097,15.9600
2018-07-27,sz.000703,9805299,0.375943,16.0200
2018-07-30,sz.000703,15285353,2.059925,16.3500
