date,code,volume,pctChg,close,high,amount,turn
2017-12-07,sz.002129,160097120,-4.991091,10.6600,11.1400,1744350862.5200,6.054569
2017-12-08,sz.002129,189574839,3.377116,11.0200,11.1800,2074385864.7700,7.169360
2017-12-11,sz.002129,160607309,1.633388,11.2000,11.2000,1760225566.9900,6.073863
2017-12-12,sz.002129,320037520,5.178571,11.7800,12.3200,3813272413.4300,12.103211
2017-12-13,sz.002129,285950736,10.016980,12.9600,12.9600,3541224238.2000,10.814114
2017-12-14,sz.002129,293168816,4.089504,13.4900,13.6800,3912377044.3100,11.087088
2017-12-15,sz.002129,253112449,1.630840,13.7100,13.9500,3432904918.7000,9.572232
2017-12-18,sz.002129,189298143,-2.844641,13.3200,13.6900,2524713585.7800,7.158896
2017-12-19,sz.002129,246809328,-3.003000,12.9200,13.2900,3176997482.0700,9.333860
2017-12-20,sz.002129,190113252,-2.012386,12.6600,13.1900,2452516442.9200,7.189722
2017-12-21,sz.002129,167262069,1.658768,12.8700,13.1000,2136946052.7000,6.325534
2017-12-22,sz.002129,302398672,-10.023310,11.5800,12.2000,3582050882.9800,11.436143
2017-12-25,sz.002129,163504279,1.208984,11.7200,12.0200,1930966740.4900,6.183421
2017-12-26,sz.002129,140018282,-0.170652,11.7000,11.7400,1603784243.0000,5.295225
2017-12-27,sz.002129,114735191,-4.444440,11.1800,11.7400,1312007626.9600,4.339067
2017-12-28,sz.002129,92535071,0.000000,11.1800,11.3500,1035508328.6700,3.499501
2017-12-29,sz.002129,133307220,2.772804,11.4900,11.7600,1540088238.2000,5.041426
2018-01-02,sz.002129,112745823,1.653617,11.6800,11.7300,1295195869.8000,4.263833
2018-01-03,sz.002129,93126893,-1.369862,11.5200,11.7300,1077024958.6600,3.521882
2018-01-04,sz.002129,165217773,4.340278,12.0200,12.0900,1954513246.3400,6.248222
2018-01-05,sz.002129,100690718,-3.161398,11.6400,11.9600,1187293404.3500,3.807932
2018-01-08,sz.002129,116563164,-3.092789,11.2800,11.7000,1319342732.6200,4.408197
2018-01-09,sz.002129,65795108,0.354610,11.3200,11.4600,742221550.4500,2.488246
2018-01-10,sz.002129,105938228,-4.593636,10.8000,11.3700,1164958077.8700,4.006383
2018-01-11,sz.002129,70075239,-0.555559,10.7400,10.9100,750999449.7700,2.650112
2018-01-12,sz.002129,62936613,-1.024205,10.6300,10.9800,677854921.1800,2.380143
2018-01-15,sz.002129,82136753,-4.233300,10.1800,10.6900,846832245.1800,3.106256
2018-01-16,sz.002129,58334666,-0.392927,10.1400,10.3300,591141339.6100,2.206106
2018-01-17,sz.002129,104594350,4.536489,10.6000,10.7800,1097590158.7100,3.955560
2018-01-18,sz.002129,48105649,-0.754716,10.5200,10.6300,506079209.0500,1.819264
2018-01-19,sz.002129,56890250,-3.231941,10.1800,10.6000,591207578.8400,2.151481
2018-01-22,sz.002129,61147568,1.277015,10.3100,10.4500,625388511.3100,2.312485
2018-01-23,sz.002129,73366543,2.521816,10.5700,10.7300,774529373.2200,2.774583
2018-01-24,sz.002129,89077162,2.365185,10.8200,10.8500,948160741.9900,3.368729
2018-01-25,sz.002129,59125552,-3.142330,10.4800,10.8300,630227201.2300,2.236016
2018-01-26,sz.002129,42020387,-0.190835,10.4600,10.5800,438694861.7300,1.589131
2018-01-29,sz.002129,69387070,-3.919693,10.0500,10.4700,705111502.4600,2.624087
2018-01-30,sz.002129,28376899,0.199000,10.0700,10.2200,286917631.9400,1.073160
2018-01-31,sz.002129,70914450,-5.858989,9.4800,10.0300,680401198.6800,2.681850
2018-02-01,sz.002129,57113161,-6.329108,8.8800,9.5500,522895579.6700,2.159911
2018-02-02,sz.002129,0,0.000000,8.8800,8.8800,0.0000,
2018-02-05,sz.002129,0,0.000000,8.8800,8.8800,0.0000,
2018-02-06,sz.002129,0,0.000000,8.8800,8.8800,0.0000,
2018-02-07,sz.002129,0,0.000000,8.8800,8.8800,0.0000,
2018-02-08,sz.002129,0,0.000000,8.8800,8.8800,0.0000,
2018-02-09,sz.002129,0,0.000000,8.8800,8.8800,0.0000,
2018-02-12,sz.002129,112183250,-9.909911,8.0000,8.1800,900375414.5200,4.242557
2018-02-13,sz.002129,60296808,-1.249999,7.9000,8.1700,483504072.4700,2.280311
2018-02-14,sz.002129,45408718,-4.050635,7.5800,7.9000,347695241.5800,1.717271
2018-02-22,sz.002129,49789659,3.825857,7.8700,7.8700,386696537.3800,1.882950
2018-02-23,sz.002129,39899587,-0.254129,7.8500,7.8900,311560727.8700,1.508927
2018-02-26,sz.002129,79286194,10.063700,8.6400,8.6400,665123542.9900,2.998453
2018-02-27,sz.002129,137626006,3.124994,8.9100,9.2700,1242068200.4900,5.204754
2018-02-28,sz.002129,90067604,2.132442,9.1000,9.1800,811439242.3400,3.406186
2018-03-01,sz.002129,84527596,0.989002,9.1900,9.3100,770333535.0400,3.196673
2018-03-02,sz.002129,72876120,-3.482043,8.8700,9.2200,654688042.8800,2.756036
2018-03-05,sz.002129,56734567,1.691100,9.0200,9.0500,507476172.5400,2.145594
2018-03-06,sz.002129,109004220,1.773834,9.1800,9.4400,1009749304.9600,4.122333
2018-03-07,sz.002129,64680466,-1.307188,9.0600,9.2000,587124666.2000,2.446092
2018-03-08,sz.002129,84266400,1.986748,9.2400,9.3500,777790743.8800,3.186795
2018-03-09,sz.002129,105532457,1.515155,9.3800,9.4400,984990237.6000,3.991037
2018-03-12,sz.002129,122927661,4.797439,9.8300,10.1500,1208411264.8100,4.648891
2018-03-13,sz.002129,184710229,5.188202,10.3400,10.6100,1894447906.4300,6.985390
2018-03-14,sz.002129,107279593,-4.061896,9.9200,10.2500,1077680553.2800,4.057110
2018-03-15,sz.002129,117362771,3.024195,10.2200,10.3800,1197190139.9600,4.438437
2018-03-16,sz.002129,66011250,-1.272017,10.0900,10.2500,666490059.8100,2.496420
2018-03-19,sz.002129,72578637,-2.081269,9.8800,10.2300,728418775.7700,2.744786
2018-03-20,sz.002129,92634501,-2.429147,9.6400,9.6900,881064286.2000,3.503261
2018-03-21,sz.002129,69877308,-1.867223,9.4600,9.8200,672261223.0000,2.642627
2018-03-22,sz.002129,59584463,1.268498,9.5800,9.7000,567017540.4300,2.253371
2018-03-23,sz.002129,97933305,-9.707728,8.6500,9.3300,872259028.6400,3.703652
2018-03-26,sz.002129,108194279,9.826594,9.5000,9.5000,982380620.5400,4.091702
2018-03-27,sz.002129,134980915,4.526319,9.9300,10.0200,1317686907.8100,5.104722
2018-03-28,sz.002129,81466605,-1.711985,9.7600,9.9200,795015862.3900,3.080912
2018-03-29,sz.002129,86823490,1.434420,9.9000,10.1700,865630009.2400,3.283499
2018-03-30,sz.002129,120818482,4.646465,10.3600,10.4500,1239174125.2300,4.569125
2018-04-02,sz.002129,134265260,-1.447873,10.2100,10.6300,1396599676.1100,5.077657
2018-04-03,sz.002129,184480300,6.660141,10.8900,11.2300,1949418735.6200,6.976694
2018-04-04,sz.002129,194573287,1.193757,11.0200,11.4800,2178200594.5000,7.358392
2018-04-09,sz.002129,120883062,1.270412,11.1600,11.3800,1349116810.5700,4.571568
2018-04-10,sz.002129,110673753,-4.032257,10.7100,11.1100,1191493785.6400,4.185471
2018-04-11,sz.002129,69319820,-1.400557,10.5600,10.9200,743342186.4100,2.621544
2018-04-12,sz.002129,55289440,-0.568186,10.5000,10.6700,582920106.2500,2.090942
2018-04-13,sz.002129,79963693,2.190472,10.7300,10.8500,855308698.2300,3.024075
2018-04-16,sz.002129,93542077,0.931970,10.8300,11.0700,1017671882.3000,3.537584
2018-04-17,sz.002129,117429885,-5.909513,10.1900,11.1200,1241684678.4000,4.440975
2018-04-18,sz.002129,178453634,8.537791,11.0600,11.2100,1929980286.2400,6.748777
2018-04-19,sz.002129,257493683,2.802888,11.3700,11.9600,2942407691.8500,9.737922
2018-04-20,sz.002129,0,0.000000,11.3700,11.3700,0.0000,
2018-04-23,sz.002129,0,0.000000,11.3700,11.3700,0.0000,
